;Unnamed: 0;Playlist Origin;Playlist order;Artist;Track Name;Album Name;Album Release Date;Track Number;Track Popularity;Track Id;Track Duration MS;Danceability;Energy;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Valence.1;Track_href;Time_signature;uri;Genres;User
681;81;MC_Top100_18;82;The Virgins;Rich Girls;The Virgins;2008-06-03;1;46;58F6iKkYdIccktJ8i8BuQQ;180120;0.7490000000000001;0.82;10;-5.755;0;0.034;0.00157;1.22e-06;0.27899999999999997;0.721;109.55799999999999;0.721;https://api.spotify.com/v1/tracks/58F6iKkYdIccktJ8i8BuQQ;4;spotify:track:58F6iKkYdIccktJ8i8BuQQ;['indie rock'];MC
682;82;MC_Top100_18;83;Kovacs;Priceless;Cheap Smell;2018-08-17;1;36;4uaOtl4g2SUfmkasCdJHuK;227610;0.655;0.737;10;-3.963;0;0.0495;0.11;0.0294;0.36;0.946;96.391;0.946;https://api.spotify.com/v1/tracks/4uaOtl4g2SUfmkasCdJHuK;4;spotify:track:4uaOtl4g2SUfmkasCdJHuK;[];MC
683;83;MC_Top100_18;84;Jain;Makeba;Zanaka;2016-10-21;1;59;5JdLUE9D743ob2RtgmVpVx;249533;0.8240000000000001;0.6559999999999999;2;-9.432;1;0.0704;0.38799999999999996;0.506;0.253;0.418;116.068;0.418;https://api.spotify.com/v1/tracks/5JdLUE9D743ob2RtgmVpVx;4;spotify:track:5JdLUE9D743ob2RtgmVpVx;['french indie pop'];MC
684;84;MC_Top100_18;85;The 1975;The Sound;I like it when you sleep, for you are so beautiful yet so unaware of it;2016-02-26;1;66;7h6lpVuSGPW6RNjDXKpYDh;248879;0.648;0.9359999999999999;0;-4.745;1;0.0762;0.085;6.93e-06;0.48200000000000004;0.5660000000000001;120.708;0.5660000000000001;https://api.spotify.com/v1/tracks/7h6lpVuSGPW6RNjDXKpYDh;4;spotify:track:7h6lpVuSGPW6RNjDXKpYDh;['modern alternative rock', 'nu gaze', 'pop', 'shiver pop'];MC
685;85;MC_Top100_18;86;Nirvana;Come As You Are;MTV Unplugged In New York;1994-01-01;1;62;3sYWyVGfPuit80szWXhrRA;253893;0.6859999999999999;0.787;5;-8.715;0;0.0425;0.569;0.00213;0.0745;0.5660000000000001;119.137;0.5660000000000001;https://api.spotify.com/v1/tracks/3sYWyVGfPuit80szWXhrRA;4;spotify:track:3sYWyVGfPuit80szWXhrRA;['alternative rock', 'grunge', 'permanent wave', 'post-grunge', 'rock'];MC
686;86;MC_Top100_18;87;Polo & Pan;Canopée;Caravelle;2017-05-19;1;62;260V7huyJrXnyYe0dFv2Fa;276293;0.701;0.687;5;-6.655;0;0.0309;0.0959;0.0154;0.0914;0.376;96.012;0.376;https://api.spotify.com/v1/tracks/260V7huyJrXnyYe0dFv2Fa;4;spotify:track:260V7huyJrXnyYe0dFv2Fa;['french indie pop', 'french indietronica'];MC
687;87;MC_Top100_18;88;Patrick Bruel;J'ai oublié de vivre;On a tous quelque chose de Johnny;2017-11-17;1;0;3XflnEFKuYXZV3S6gXP8NT;291373;0.57;0.7659999999999999;10;-5.306;1;0.0312;0.539;0.00733;0.11900000000000001;0.389;114.09100000000001;0.389;https://api.spotify.com/v1/tracks/3XflnEFKuYXZV3S6gXP8NT;4;spotify:track:3XflnEFKuYXZV3S6gXP8NT;['chanson', 'french pop'];MC
688;88;MC_Top100_18;89;L'Impératrice;Erreur 404;Matahari;2018-03-02;1;51;1vP9T20M1JAuurEjYu80Bt;220506;0.723;0.258;3;-12.112;0;0.0353;0.382;0.43799999999999994;0.131;0.456;95.01899999999999;0.456;https://api.spotify.com/v1/tracks/1vP9T20M1JAuurEjYu80Bt;4;spotify:track:1vP9T20M1JAuurEjYu80Bt;['filter house', 'french indie pop', 'french indietronica'];MC
689;89;MC_Top100_18;90;The Rubens;Lay It Down;The Rubens;2012;1;42;5hxwASfj7iXwXJ9ljqUqOd;231040;0.425;0.8059999999999999;7;-3.852;1;0.0483;0.0777;0.000126;0.10400000000000001;0.414;150.124;0.414;https://api.spotify.com/v1/tracks/5hxwASfj7iXwXJ9ljqUqOd;3;spotify:track:5hxwASfj7iXwXJ9ljqUqOd;['australian indie', 'australian pop'];MC
690;90;MC_Top100_18;91;La La Land Cast;"Another Day Of Sun - From ""La La Land"" Soundtrack";La La Land (Original Motion Picture Soundtrack);2016-12-09;1;68;5kRBzRZmZTXVg8okC7SJFZ;228173;0.588;0.742;8;-6.757000000000001;1;0.0528;0.0162;3.98e-06;0.653;0.8240000000000001;125.819;0.8240000000000001;https://api.spotify.com/v1/tracks/5kRBzRZmZTXVg8okC7SJFZ;4;spotify:track:5kRBzRZmZTXVg8okC7SJFZ;[];MC
691;91;MC_Top100_18;92;Queen;Fat Bottomed Girls - Live In Paris;Bohemian Rhapsody (The Original Soundtrack);2018-10-19;1;72;5Q2cQZKPvF4bpcjV3TCTss;277706;0.314;0.914;2;-5.8839999999999995;1;0.0599;0.0797;2.4299999999999998e-05;0.956;0.34600000000000003;92.04899999999999;0.34600000000000003;https://api.spotify.com/v1/tracks/5Q2cQZKPvF4bpcjV3TCTss;4;spotify:track:5Q2cQZKPvF4bpcjV3TCTss;['glam rock', 'rock'];MC
692;92;MC_Top100_18;93;Imagine Dragons;Whatever It Takes;Evolve;2017-06-23;1;84;6Qn5zhYkTa37e91HC1D7lb;201240;0.672;0.655;10;-5.021;0;0.0311;0.0362;0.0;0.11699999999999999;0.556;134.945;0.556;https://api.spotify.com/v1/tracks/6Qn5zhYkTa37e91HC1D7lb;4;spotify:track:6Qn5zhYkTa37e91HC1D7lb;['modern rock', 'rock'];MC
693;93;MC_Top100_18;94;Felix Jaehn;Hot2Touch;I;2018-02-16;1;19;2Q5210PdRBUYKfC52EkHrP;160825;0.7509999999999999;0.737;1;-5.303;0;0.040999999999999995;0.000866;3.0299999999999998e-05;0.336;0.847;121.95;0.847;https://api.spotify.com/v1/tracks/2Q5210PdRBUYKfC52EkHrP;4;spotify:track:2Q5210PdRBUYKfC52EkHrP;['dance pop', 'edm', 'pop', 'tropical house'];MC
694;94;MC_Top100_18;95;Julien Doré;Le lac;&;2016-10-14;1;57;0fQIB0rVuLNDNlq3B0hij9;235866;0.737;0.635;8;-8.555;1;0.0344;0.134;0.00373;0.10800000000000001;0.787;117.01100000000001;0.787;https://api.spotify.com/v1/tracks/0fQIB0rVuLNDNlq3B0hij9;4;spotify:track:0fQIB0rVuLNDNlq3B0hij9;['chanson', 'french indie pop', 'french pop', 'french rock'];MC
695;95;MC_Top100_18;96;Synapson;Hide Away (feat. Holly);Hide Away (feat. Holly);2018-01-11;1;53;7CGlcZqAnnKa25DcaKYpfY;175337;0.7879999999999999;0.795;1;-5.083;0;0.105;0.146;0.00293;0.205;0.902;114.016;0.902;https://api.spotify.com/v1/tracks/7CGlcZqAnnKa25DcaKYpfY;4;spotify:track:7CGlcZqAnnKa25DcaKYpfY;['french indie pop', 'french indietronica', 'tropical house'];MC
696;96;MC_Top100_18;97;Nirvana;The Man Who Sold The World;MTV Unplugged In New York;1994-01-01;1;71;15VRO9CQwMpbqUYA7e6Hwg;260946;0.485;0.738;1;-8.884;0;0.10099999999999999;0.406;8.77e-05;0.514;0.484;114.713;0.484;https://api.spotify.com/v1/tracks/15VRO9CQwMpbqUYA7e6Hwg;4;spotify:track:15VRO9CQwMpbqUYA7e6Hwg;['alternative rock', 'grunge', 'permanent wave', 'post-grunge', 'rock'];MC
697;97;MC_Top100_18;98;Poom;Les voiles;2016;2016-05-24;1;44;0PtLZ7LVlKB56pU3xNqyRc;273230;0.721;0.847;1;-5.336;1;0.0412;0.27899999999999997;0.00317;0.102;0.524;112.027;0.524;https://api.spotify.com/v1/tracks/0PtLZ7LVlKB56pU3xNqyRc;4;spotify:track:0PtLZ7LVlKB56pU3xNqyRc;['french indie pop', 'french indietronica'];MC
698;98;MC_Top100_18;99;Arctic Monkeys;Fluorescent Adolescent;Favourite Worst Nightmare;2007-04-22;1;75;2x8evxqUlF0eRabbW2JBJd;183893;0.654;0.828;1;-5.377000000000001;0;0.0281;0.00146;0.000144;0.122;0.79;112.056;0.79;https://api.spotify.com/v1/tracks/2x8evxqUlF0eRabbW2JBJd;4;spotify:track:2x8evxqUlF0eRabbW2JBJd;['garage rock', 'indie rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie'];MC
